DateKey	FullDate	Year	Quarter	MonthNumber	MonthName	YearMonth	DayOfMonth	DayName	IsWeekend	FiscalYearSA	SeasonSouthernAfrica
20090405	2009-04-05	2009	2	4	April	2009-04	5	Sunday	1	FY2009/10	Autumn
20090406	2009-04-06	2009	2	4	April	2009-04	6	Monday	0	FY2009/10	Autumn
20090407	2009-04-07	2009	2	4	April	2009-04	7	Tuesday	0	FY2009/10	Autumn
20090408	2009-04-08	2009	2	4	April	2009-04	8	Wednesday	0	FY2009/10	Autumn
20090409	2009-04-09	2009	2	4	April	2009-04	9	Thursday	0	FY2009/10	Autumn
20090410	2009-04-10	2009	2	4	April	2009-04	10	Friday	0	FY2009/10	Autumn
20090411	2009-04-11	2009	2	4	April	2009-04	11	Saturday	1	FY2009/10	Autumn
20090412	2009-04-12	2009	2	4	April	2009-04	12	Sunday	1	FY2009/10	Autumn
20090413	2009-04-13	2009	2	4	April	2009-04	13	Monday	0	FY2009/10	Autumn
20090414	2009-04-14	2009	2	4	April	2009-04	14	Tuesday	0	FY2009/10	Autumn
20090415	2009-04-15	2009	2	4	April	2009-04	15	Wednesday	0	FY2009/10	Autumn
20090416	2009-04-16	2009	2	4	April	2009-04	16	Thursday	0	FY2009/10	Autumn
20090417	2009-04-17	2009	2	4	April	2009-04	17	Friday	0	FY2009/10	Autumn
20090418	2009-04-18	2009	2	4	April	2009-04	18	Saturday	1	FY2009/10	Autumn
20090419	2009-04-19	2009	2	4	April	2009-04	19	Sunday	1	FY2009/10	Autumn
20090420	2009-04-20	2009	2	4	April	2009-04	20	Monday	0	FY2009/10	Autumn
20090421	2009-04-21	2009	2	4	April	2009-04	21	Tuesday	0	FY2009/10	Autumn
20090422	2009-04-22	2009	2	4	April	2009-04	22	Wednesday	0	FY2009/10	Autumn
20090423	2009-04-23	2009	2	4	April	2009-04	23	Thursday	0	FY2009/10	Autumn
20090424	2009-04-24	2009	2	4	April	2009-04	24	Friday	0	FY2009/10	Autumn
20090425	2009-04-25	2009	2	4	April	2009-04	25	Saturday	1	FY2009/10	Autumn
20090426	2009-04-26	2009	2	4	April	2009-04	26	Sunday	1	FY2009/10	Autumn
20090427	2009-04-27	2009	2	4	April	2009-04	27	Monday	0	FY2009/10	Autumn
20090428	2009-04-28	2009	2	4	April	2009-04	28	Tuesday	0	FY2009/10	Autumn
20090429	2009-04-29	2009	2	4	April	2009-04	29	Wednesday	0	FY2009/10	Autumn
20090430	2009-04-30	2009	2	4	April	2009-04	30	Thursday	0	FY2009/10	Autumn
20090501	2009-05-01	2009	2	5	May	2009-05	1	Friday	0	FY2009/10	Autumn
20090502	2009-05-02	2009	2	5	May	2009-05	2	Saturday	1	FY2009/10	Autumn
20090503	2009-05-03	2009	2	5	May	2009-05	3	Sunday	1	FY2009/10	Autumn
20090504	2009-05-04	2009	2	5	May	2009-05	4	Monday	0	FY2009/10	Autumn
20090505	2009-05-05	2009	2	5	May	2009-05	5	Tuesday	0	FY2009/10	Autumn
20090506	2009-05-06	2009	2	5	May	2009-05	6	Wednesday	0	FY2009/10	Autumn
20090507	2009-05-07	2009	2	5	May	2009-05	7	Thursday	0	FY2009/10	Autumn
20090508	2009-05-08	2009	2	5	May	2009-05	8	Friday	0	FY2009/10	Autumn
20090509	2009-05-09	2009	2	5	May	2009-05	9	Saturday	1	FY2009/10	Autumn
20090510	2009-05-10	2009	2	5	May	2009-05	10	Sunday	1	FY2009/10	Autumn
20090511	2009-05-11	2009	2	5	May	2009-05	11	Monday	0	FY2009/10	Autumn
20090512	2009-05-12	2009	2	5	May	2009-05	12	Tuesday	0	FY2009/10	Autumn
20090513	2009-05-13	2009	2	5	May	2009-05	13	Wednesday	0	FY2009/10	Autumn
20090514	2009-05-14	2009	2	5	May	2009-05	14	Thursday	0	FY2009/10	Autumn
20090515	2009-05-15	2009	2	5	May	2009-05	15	Friday	0	FY2009/10	Autumn
20090516	2009-05-16	2009	2	5	May	2009-05	16	Saturday	1	FY2009/10	Autumn
20090517	2009-05-17	2009	2	5	May	2009-05	17	Sunday	1	FY2009/10	Autumn
20090518	2009-05-18	2009	2	5	May	2009-05	18	Monday	0	FY2009/10	Autumn
20090519	2009-05-19	2009	2	5	May	2009-05	19	Tuesday	0	FY2009/10	Autumn
20090520	2009-05-20	2009	2	5	May	2009-05	20	Wednesday	0	FY2009/10	Autumn
20090521	2009-05-21	2009	2	5	May	2009-05	21	Thursday	0	FY2009/10	Autumn
