YearMonth,Year,FiscalYearSA,LocationDescription,ProductName,EligibilityStatus,LitresIssued,TransactionCount
2019-09,2019,FY2019/20,Ultra City,DIESEL,Eligible - Mining,1471489.90,452
2019-09,2019,FY2019/20,CHP-006,DIESEL,Eligible - Mining,114649.90,318
2019-09,2019,FY2019/20,CMND-001,DIESEL,Eligible - Mining,126006.90,253
2019-09,2019,FY2019/20,DB-269,DIESEL,Ineligible,104308.00,289
2019-09,2019,FY2019/20,DB-MCCA-126,DIESEL,Eligible - Mining,462877.00,927
2019-09,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,3271860.33,1698
2019-09,2019,FY2019/20,Nitro+,ENGINE,Eligible - Mining,3483.00,123
2019-09,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,3.95,71
2019-09,2019,FY2019/20,ST-264,DYNATRANS,Ineligible,0.17,3
2019-09,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,2.39,40
2019-09,2019,FY2019/20,ST-264,TRANSMISSION,Ineligible,11.28,13
2019-09,2019,FY2019/20,Stores LDV,DIESEL,Eligible - Mining,15144.64,103
2019-09,2019,FY2019/20,CHP-006,DIESEL,Ineligible,34398.30,101
2019-09,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,225168.00,726
2019-09,2019,FY2019/20,CON-074,DIESEL,Ineligible,26627.00,72
2019-09,2019,FY2019/20,CON-141,DIESEL,Eligible - Mining,59239.00,133
2019-09,2019,FY2019/20,CON-141,DIESEL,Ineligible,4869.00,25
2019-09,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,228.00,4
2019-09,2019,FY2019/20,North Concentrator,DIESEL,Eligible - Mining,8933.00,57
2019-09,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,0.65,10
2019-09,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,1248.56,212
2019-09,2019,FY2019/20,Stores LDV,PETROL,Eligible - Mining,127.56,7
2019-09,2019,FY2019/20,Stores LDV,PETROL,Ineligible,2371.44,58
2019-09,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,402065.00,826
2019-09,2019,FY2019/20,DB-MCCA-126,DIESEL,Ineligible,59756.00,199
2019-09,2019,FY2019/20,Nitro+,DIESEL,Ineligible,90486.82,750
2019-09,2019,FY2019/20,Nitro+,ENGINE,Ineligible,31.00,2
2019-09,2019,FY2019/20,Nitro+,HYDRAULIC,Eligible - Mining,656.00,43
2019-09,2019,FY2019/20,Nitro+,TRANSMISSION,Eligible - Mining,2995.00,112
2019-09,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,4.53,39
2019-09,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.29,4
2019-09,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,68.78,167
2019-09,2019,FY2019/20,Ultra City,DIESEL,Ineligible,413246.80,185
2019-10,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,206426.00,427
2019-10,2019,FY2019/20,DB-270,DIESEL,Ineligible,46293.00,111
2019-10,2019,FY2019/20,DB-338,DIESEL,Eligible - Mining,23822.00,49
2019-10,2019,FY2019/20,Nitro+,DIESEL,Ineligible,192659.20,811
2019-10,2019,FY2019/20,Nitro+,TRANSMISSION,Eligible - Mining,3053.00,119
2019-10,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,1.71,27
2019-10,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.11,2
2019-10,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,8.23,124
2019-10,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,1280.58,295
2019-10,2019,FY2019/20,Stores LDV,PETROL,Ineligible,3138.99,74
2019-10,2019,FY2019/20,Ultra City,DIESEL,Ineligible,406161.70,230
2019-10,2019,FY2019/20,CHP-006,DIESEL,Eligible - Mining,104415.70,335
2019-10,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,217309.00,699
2019-10,2019,FY2019/20,CON-074,DIESEL,Ineligible,16479.00,51
2019-10,2019,FY2019/20,CON-141,DIESEL,Eligible - Mining,7503.00,17
2019-10,2019,FY2019/20,CON-141,DIESEL,Ineligible,366.00,9
2019-10,2019,FY2019/20,DB-MCCA-126,DIESEL,Ineligible,58567.00,182
2019-10,2019,FY2019/20,Nitro+,ENGINE,Eligible - Mining,3630.00,153
2019-10,2019,FY2019/20,Nitro+,ENGINE,Ineligible,72.00,4
2019-10,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,105.00,10
2019-10,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,0.34,4
